Program;Mutation Score;Classification
program_005;100.0;Well tested
program_032;100.0;Well tested
program_033;100.0;Well tested
program_034;100.0;Well tested
program_035;0;Weakly tested
program_037;100.0;Well tested
program_038;66.66666666666666;Weakly tested
program_039;100.0;Well tested
program_041;100.0;Well tested
program_042;0;Weakly tested
program_043;0;Weakly tested
program_045;100.0;Well tested
program_047;0;Weakly tested
program_052;0;Weakly tested
program_055;0;Weakly tested
program_057;0;Weakly tested
program_060;0;Weakly tested
program_061;100.0;Well tested
program_062;0;Weakly tested
program_063;100.0;Well tested
program_067;85.71428571428571;Well tested
program_069;100.0;Well tested
program_071;100.0;Well tested
program_072;100.0;Well tested
program_074;0;Weakly tested
program_075;50.0;Weakly tested
program_077;100.0;Well tested
program_084;100.0;Well tested
program_087;100.0;Well tested
program_091;100.0;Well tested
program_092;100.0;Well tested
program_093;100.0;Well tested
program_095;100.0;Well tested
program_096;100.0;Well tested
program_097;66.66666666666666;Weakly tested
program_099;100.0;Well tested
